year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,Jilaal,Gu',Hagaa,Deyr
1981,0,21.09,73.83,358.59,21.09,0,0,0,52.73,15.82,31.64,10.55,585.35,94.92,379.68,52.73,58.01
1982,58.01,5.27,0,21.09,5.27,10.55,10.55,10.55,0,5.27,52.73,0,179.3,63.28,36.91,21.1,58
1983,5.27,0,0,79.1,15.82,0,0,0,0,0,0,0,100.2,5.27,94.92,0,0
1984,0,0,0,36.91,10.55,0,0,63.28,0,15.82,10.55,0,137.11,0,47.46,63.28,26.37
1985,0,0,15.82,10.55,10.55,5.27,0,0,0,0,0,0,42.19,15.82,26.37,0,0
1986,0,0,0,0,5.27,0,0,0,0,36.91,5.27,21.09,68.55,0,5.27,0,63.27
1987,0,0,10.55,21.09,163.48,0,152.93,5.27,0,21.09,36.91,0,411.33,10.55,184.57,158.2,58
1988,0,0,15.82,21.09,36.91,5.27,0,0,0,0,0,15.82,94.92,15.82,63.27,0,15.82
1989,0,0,0,116.02,42.19,0,0,0,0,5.27,10.55,10.55,184.57,0,158.21,0,26.37
1990,0,0,10.55,242.58,10.55,0,0,0,0,89.65,94.92,79.1,527.34,10.55,253.13,0,263.67
1991,10.55,0,31.64,174.02,47.46,0,58.01,0,0,26.37,36.91,47.46,432.42,42.19,221.48,58.01,110.74
1992,0,0,0,147.66,15.82,0,0,0,0,10.55,110.74,147.66,432.42,0,163.48,0,268.95
1993,36.91,10.55,0,195.12,464.06,0,0,0,0,68.55,47.46,0,822.66,47.46,659.18,0,116.01
1994,0,0,0,94.92,47.46,0,10.55,15.82,0,52.73,168.75,5.27,395.51,0,142.38,26.37,226.75
1995,0,5.27,68.55,195.12,10.55,0,0,10.55,0,47.46,84.38,5.27,427.15,73.82,205.67,10.55,137.11
1996,0,0,63.28,63.28,73.83,0,0,0,0,0,36.91,5.27,242.58,63.28,137.11,0,42.18
1997,0,0,63.28,163.48,47.46,0,0,0,15.82,369.14,131.84,105.47,896.48,63.28,210.94,15.82,606.45
1998,15.82,10.55,0,47.46,63.28,0,0,0,0,5.27,5.27,0,147.66,26.37,110.74,0,10.54
1999,0,0,63.28,52.73,52.73,0,15.82,0,0,52.73,63.28,0,300.59,63.28,105.46,15.82,116.01
2000,0,0,0,10.55,79.1,0,0,0,5.27,242.58,31.64,0,369.14,0,89.65,5.27,274.22
2001,0,0,0,21.09,0,0,0,5.27,15.82,26.37,10.55,10.55,89.65,0,21.09,21.09,47.47
2002,0,0,0,73.83,10.55,0,0,0,0,84.38,110.74,15.82,295.31,0,84.38,0,210.94
2003,0,0,0,152.93,47.46,0,0,0,0,0,47.46,152.93,400.78,0,200.39,0,200.39
2004,0,0,0,52.73,0,73.83,0,0,0,121.29,42.19,21.09,311.13,0,126.56,0,184.57
2005,0,5.27,42.19,10.55,73.83,5.27,31.64,0,0,0,47.46,0,216.21,47.46,89.65,31.64,47.46
2006,26.37,5.27,0,131.84,42.19,0,0,0,15.82,295.31,142.38,42.19,701.37,31.64,174.03,15.82,479.88
2007,0,0,0,63.28,21.09,58.01,0,42.19,10.55,73.83,73.83,0,342.77,0,142.38,52.74,147.66
2008,58.01,0,5.27,200.39,63.28,79.1,15.82,0,0,58.01,195.12,0,675,63.28,342.77,15.82,253.13
2009,5.27,0,0,47.46,5.27,0,0,0,0,179.3,36.91,26.37,300.59,5.27,52.73,0,242.58
2010,0,0,126.56,195.12,26.37,0,0,100.2,0,31.64,0,0,479.88,126.56,221.49,100.2,31.64
2011,0,0,0,121.29,15.82,0,5.27,0,0,226.76,195.12,0,564.26,0,137.11,5.27,421.88
2012,0,0,0,216.21,68.55,47.46,5.27,10.55,0,0,58.01,15.82,421.88,0,332.22,15.82,73.83
2013,0,0,105.47,210.94,52.73,0,5.27,0,0,5.27,163.48,10.55,553.71,105.47,263.67,5.27,179.3
2014,0,0,21.09,110.74,152.93,21.09,0,15.82,10.55,89.65,116.02,21.09,558.98,21.09,284.76,26.37,226.76
2015,0,0,21.09,63.28,68.55,5.27,36.91,15.82,0,63.28,168.75,21.09,464.06,21.09,137.1,52.73,253.12
2016,0,5.27,0,126.56,84.38,0,0,0,0,0,26.37,10.55,253.12,5.27,210.94,0,36.92
2017,0,0,0,15.82,10.55,21.09,0,10.55,0,36.91,126.56,0,221.48,0,47.46,10.55,163.47
2018,0,0,0,89.65,5.27,0,0,63.28,0,15.82,5.27,0,179.3,0,94.92,63.28,21.09
2019,0,0,0,5.27,31.64,84.38,26.37,0,15.82,147.66,36.91,21.09,369.14,0,121.29,42.19,205.66
2020,0,0,0,58.01,195.12,110.74,210.94,131.84,168.75,26.37,42.19,5.27,949.22,0,363.87,511.53,73.83
