YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,Jilaal,Gu',Hagaa,Deyr
1981,0,31.64,121.29,369.14,26.37,0,0,0,42.19,42.19,47.46,5.27,685.55,152.93,395.51,42.19,94.92
1982,36.91,15.82,0,42.19,31.64,26.37,31.64,26.37,0,31.64,31.64,5.27,279.49,52.73,100.2,58.01,68.55
1983,5.27,0,0,52.73,36.91,0,0,0,0,0,0,0,94.92,5.27,89.64,0,0
1984,0,0,0,36.91,31.64,0,0,68.55,0,26.37,26.37,0,189.84,0,68.55,68.55,52.74
1985,0,0,36.91,26.37,21.09,5.27,0,0,0,0,0,0,89.65,36.91,52.73,0,0
1986,0,0,0,0,31.64,5.27,0,0,0,58.01,21.09,26.37,142.38,0,36.91,0,105.47
1987,0,0,10.55,26.37,253.12,0,242.58,5.27,0,36.91,58.01,0,632.81,10.55,279.49,247.85,94.92
1988,0,0,15.82,52.73,58.01,5.27,0,0,0,0,0,15.82,147.66,15.82,116.01,0,15.82
1989,0,0,0,184.57,84.38,0,0,0,0,15.82,31.64,21.09,337.5,0,268.95,0,68.55
1990,0,0,31.64,337.5,0,0,0,0,0,121.29,105.47,105.47,701.37,31.64,337.5,0,332.23
1991,26.37,0,47.46,210.94,79.1,0,31.64,0,0,36.91,58.01,73.83,564.26,73.83,290.04,31.64,168.75
1992,0,0,0,126.56,26.37,0,0,0,5.27,10.55,116.02,189.84,474.61,0,152.93,5.27,316.41
1993,47.46,10.55,0,284.77,632.81,0,0,0,0,100.2,73.83,0,1149.61,58.01,917.58,0,174.03
1994,0,0,0,100.2,68.55,0,10.55,15.82,0,79.1,295.31,10.55,580.08,0,168.75,26.37,384.96
1995,0,10.55,137.11,274.22,21.09,0,0,15.82,0,89.65,121.29,31.64,701.37,147.66,295.31,15.82,242.58
1996,0,0,89.65,84.38,89.65,0,0,0,0,0,68.55,5.27,337.5,89.65,174.03,0,73.82
1997,0,0,105.47,210.94,68.55,0,0,0,26.37,601.17,274.22,200.39,1487.11,105.47,279.49,26.37,1075.78
1998,47.46,5.27,0,79.1,121.29,0,0,0,0,5.27,10.55,0,268.95,52.73,200.39,0,15.82
1999,0,0,63.28,79.1,63.28,0,21.09,0,0,110.74,105.47,5.27,448.24,63.28,142.38,21.09,221.48
2000,0,0,0,10.55,105.47,0,0,0,21.09,342.77,42.19,0,522.07,0,116.02,21.09,384.96
2001,0,0,0,47.46,0,0,5.27,10.55,15.82,36.91,42.19,15.82,174.02,0,47.46,31.64,94.92
2002,0,0,0,184.57,5.27,0,0,0,0,147.66,179.3,58.01,574.8,0,189.84,0,384.97
2003,0,0,0,210.94,94.92,0,0,0,5.27,5.27,84.38,195.12,595.9,0,305.86,5.27,284.77
2004,0,0,0,121.29,5.27,68.55,0,0,0,179.3,94.92,31.64,500.98,0,195.11,0,305.86
2005,0,5.27,79.1,21.09,79.1,5.27,21.09,0,0,0,73.83,0,284.77,84.37,105.46,21.09,73.83
2006,21.09,5.27,0,168.75,63.28,0,0,0,15.82,432.42,258.4,68.55,1033.59,26.36,232.03,15.82,759.37
2007,10.55,0,10.55,100.2,84.38,73.83,0,47.46,36.91,126.56,100.2,0,590.62,21.1,258.41,84.37,226.76
2008,94.92,0,5.27,237.3,89.65,94.92,26.37,5.27,0,47.46,263.67,0,864.84,100.19,421.87,31.64,311.13
2009,5.27,0,0,84.38,36.91,5.27,0,0,0,279.49,63.28,42.19,516.8,5.27,126.56,0,384.96
2010,0,0,195.12,263.67,84.38,5.27,0,68.55,0,47.46,0,0,664.45,195.12,353.32,68.55,47.46
2011,0,0,0,126.56,31.64,0,5.27,10.55,5.27,390.23,290.04,21.09,880.66,0,158.2,21.09,701.36
2012,0,0,0,226.76,79.1,79.1,5.27,10.55,0,36.91,100.2,36.91,574.8,0,384.96,15.82,174.02
2013,0,0,158.2,305.86,100.2,10.55,21.09,5.27,0,15.82,147.66,21.09,785.74,158.2,416.61,26.36,184.57
2014,0,0,31.64,168.75,232.03,63.28,0,10.55,10.55,100.2,174.02,52.73,843.75,31.64,464.06,21.1,326.95
2015,0,0,26.37,105.47,100.2,21.09,26.37,15.82,0,79.1,210.94,21.09,606.45,26.37,226.76,42.19,311.13
2016,0,10.55,5.27,105.47,137.11,5.27,0,0,0,0,42.19,21.09,326.95,15.82,247.85,0,63.28
2017,0,0,0,26.37,21.09,36.91,0,10.55,5.27,26.37,131.84,0,258.4,0,84.37,15.82,158.21
2018,0,0,10.55,137.11,10.55,0,0,42.19,0,26.37,21.09,5.27,253.12,10.55,147.66,42.19,52.73
2019,0,0,0,15.82,79.1,63.28,15.82,0,15.82,174.02,89.65,31.64,485.16,0,158.2,31.64,295.31
2020,0,0,5.27,58.01,100.2,79.1,100.2,89.65,152.93,31.64,73.83,5.27,696.09,5.27,237.31,342.78,110.74
2021,10.55,0,15.82,28.83,69.69,77.29,120.62,241.39,106.59,14.81,413.52,19.3,1118.4,26.37,175.81,468.6,447.63
